#Gene	Rank	# rare mutations	avg # rare mutations per sample	# rare truncating mutations	avg # truncating mutations per sample
MUC4	1	386	0.352511415525114	52	0.0474885844748858
TTN	2	336	0.306849315068493	35	0.0319634703196347
OBSCN	3	222	0.202739726027397	21	0.0191780821917808
SSPO	4	180	0.164383561643836	30	0.0273972602739726
MUC17	5	168	0.153424657534247	5	0.0045662100456621
RPL14	6	157	0.14337899543379	151	0.137899543378995
MUC16	7	153	0.13972602739726	16	0.0146118721461187
NCOR2	8	150	0.136986301369863	93	0.0849315068493151
PLEC	9	142	0.129680365296804	9	0.00821917808219178
LAMA5	10	138	0.126027397260274	11	0.0100456621004566
MUC5B	11	135	0.123287671232877	10	0.0091324200913242
MUC12	12	131	0.119634703196347	6	0.00547945205479452
AHNAK2	13	122	0.111415525114155	7	0.00639269406392694
PKD1	14	119	0.108675799086758	6	0.00547945205479452
SPTBN5	15	119	0.108675799086758	15	0.0136986301369863
ASPN	16	116	0.105936073059361	110	0.100456621004566
HSPG2	17	114	0.104109589041096	11	0.0100456621004566
PIEZO1	18	111	0.101369863013699	13	0.0118721461187215
KCNN3	19	108	0.0986301369863014	98	0.0894977168949772
NOTCH4	20	108	0.0986301369863014	75	0.0684931506849315
TNRC18	21	107	0.097716894977169	7	0.00639269406392694
ATN1	22	105	0.0958904109589041	89	0.0812785388127854
DNHD1	23	100	0.091324200913242	31	0.028310502283105
KDM6B	24	99	0.0904109589041096	73	0.0666666666666667
OTOG	25	96	0.0876712328767123	5	0.0045662100456621
JPH3	26	91	0.0831050228310502	69	0.063013698630137
APC2	27	91	0.0831050228310502	10	0.0091324200913242
MUC2	28	90	0.0821917808219178	12	0.010958904109589
EP400	29	89	0.0812785388127854	50	0.045662100456621
HYDIN	30	85	0.0776255707762557	3	0.00273972602739726
KIAA2018	31	84	0.0767123287671233	68	0.0621004566210046
ZNF469	32	84	0.0767123287671233	2	0.00182648401826484
HELZ2	33	81	0.073972602739726	2	0.00182648401826484
FLG	34	81	0.073972602739726	11	0.0100456621004566
INTS1	35	80	0.0730593607305936	14	0.0127853881278539
FCGBP	36	80	0.0730593607305936	8	0.00730593607305936
CROCC	37	78	0.0712328767123288	4	0.00365296803652968
MLL2	38	78	0.0712328767123288	9	0.00821917808219178
SPEG	39	76	0.0694063926940639	5	0.0045662100456621
RYR1	40	76	0.0694063926940639	6	0.00547945205479452
FSIP2	41	76	0.0694063926940639	3	0.00273972602739726
ALMS1	42	75	0.0684931506849315	23	0.0210045662100457
SYNE1	43	75	0.0684931506849315	9	0.00821917808219178
IGFN1	44	75	0.0684931506849315	8	0.00730593607305936
NOP9	45	74	0.0675799086757991	68	0.0621004566210046
FAM171B	46	73	0.0666666666666667	64	0.0584474885844749
MYO15A	47	71	0.0648401826484018	11	0.0100456621004566
NEB	48	71	0.0648401826484018	2	0.00182648401826484
ZFHX2	49	71	0.0648401826484018	3	0.00273972602739726
TTC40	50	70	0.0639269406392694	7	0.00639269406392694
MUC6	51	70	0.0639269406392694	9	0.00821917808219178
DNAH17	52	69	0.063013698630137	6	0.00547945205479452
USH2A	53	69	0.063013698630137	12	0.010958904109589
AGRN	54	68	0.0621004566210046	7	0.00639269406392694
STARD9	55	68	0.0621004566210046	8	0.00730593607305936
SCRIB	56	67	0.0611872146118721	5	0.0045662100456621
FASN	57	67	0.0611872146118721	6	0.00547945205479452
RP1L1	58	67	0.0611872146118721	7	0.00639269406392694
SYNE2	59	67	0.0611872146118721	4	0.00365296803652968
CELSR1	60	67	0.0611872146118721	3	0.00273972602739726
TRAK1	61	66	0.0602739726027397	53	0.0484018264840183
NOTCH1	62	66	0.0602739726027397	6	0.00547945205479452
HTT	63	65	0.0593607305936073	33	0.0301369863013699
FBN3	64	65	0.0593607305936073	3	0.00273972602739726
ZNF729	65	65	0.0593607305936073	2	0.00182648401826484
SHROOM4	66	65	0.0593607305936073	39	0.0356164383561644
CELSR3	67	64	0.0584474885844749	5	0.0045662100456621
CACNA1H	68	64	0.0584474885844749	9	0.00821917808219178
DCHS2	69	64	0.0584474885844749	14	0.0127853881278539
PCNT	70	64	0.0584474885844749	6	0.00547945205479452
DST	71	63	0.0575342465753425	6	0.00547945205479452
MYH7B	72	63	0.0575342465753425	8	0.00730593607305936
POU4F2	73	62	0.05662100456621	56	0.0511415525114155
DNAH10	74	62	0.05662100456621	7	0.00639269406392694
EPPK1	75	61	0.0557077625570776	4	0.00365296803652968
CACNA1F	76	61	0.0557077625570776	13	0.0118721461187215
CCDC168	77	61	0.0557077625570776	7	0.00639269406392694
SPTBN4	78	61	0.0557077625570776	5	0.0045662100456621
NOTCH3	79	60	0.0547945205479452	4	0.00365296803652968
TCHH	80	60	0.0547945205479452	19	0.017351598173516
CACNA1A	81	60	0.0547945205479452	19	0.017351598173516
AHNAK	82	60	0.0547945205479452	4	0.00365296803652968
TRIOBP	83	60	0.0547945205479452	7	0.00639269406392694
DNAH11	84	60	0.0547945205479452	2	0.00182648401826484
GPR98	85	59	0.0538812785388128	4	0.00365296803652968
DNAH1	86	59	0.0538812785388128	5	0.0045662100456621
KIF26A	87	59	0.0538812785388128	5	0.0045662100456621
DCHS1	88	59	0.0538812785388128	6	0.00547945205479452
RNF213	89	59	0.0538812785388128	6	0.00547945205479452
PLCH2	90	58	0.0529680365296804	4	0.00365296803652968
BSN	91	58	0.0529680365296804	5	0.0045662100456621
RYR3	92	58	0.0529680365296804	4	0.00365296803652968
NEFH	93	57	0.0520547945205479	37	0.0337899543378995
ANKRD36	94	57	0.0520547945205479	7	0.00639269406392694
HRC	95	57	0.0520547945205479	48	0.0438356164383562
ZFHX3	96	57	0.0520547945205479	21	0.0191780821917808
TNXB	97	57	0.0520547945205479	5	0.0045662100456621
PLXNB3	98	57	0.0520547945205479	3	0.00273972602739726
PKD1L1	99	57	0.0520547945205479	7	0.00639269406392694
MEGF6	100	57	0.0520547945205479	7	0.00639269406392694
COL18A1	101	56	0.0511415525114155	9	0.00821917808219178
DNAH9	102	56	0.0511415525114155	9	0.00821917808219178
ATG2A	103	56	0.0511415525114155	2	0.00182648401826484
HMCN1	104	55	0.0502283105022831	4	0.00365296803652968
LOXHD1	105	55	0.0502283105022831	4	0.00365296803652968
ADAMTS7	106	55	0.0502283105022831	3	0.00273972602739726
CDH23	107	55	0.0502283105022831	4	0.00365296803652968
KIF1A	108	55	0.0502283105022831	12	0.010958904109589
COL5A3	109	54	0.0493150684931507	3	0.00273972602739726
PRUNE2	110	54	0.0493150684931507	27	0.0246575342465753
CELSR2	111	54	0.0493150684931507	20	0.0182648401826484
ZNF850	112	54	0.0493150684931507	1	0.00091324200913242
CSMD1	113	53	0.0484018264840183	1	0.00091324200913242
PCLO	114	53	0.0484018264840183	7	0.00639269406392694
MEGF8	115	53	0.0484018264840183	6	0.00547945205479452
GRIN3B	116	53	0.0484018264840183	7	0.00639269406392694
FAT4	117	52	0.0474885844748858	1	0.00091324200913242
IGSF3	118	52	0.0474885844748858	26	0.0237442922374429
UBR4	119	52	0.0474885844748858	8	0.00730593607305936
